member_id,join_date,gender,age,fitness_goal,sign_up_method,fitness_activity,fitness_level
1,2024-02-09,Male,38,Lose weight,Online,Zumba,Beginner
2,2025-09-30,Female,32,Improve endurance,Unspecified,Boxing,Beginner
3,2025-03-16,Male,40,Improve mobility,Referral,Yoga,Beginner
4,2024-05-30,Male,49,Lose weight,Online,Spin,Intermediate
5,2025-07-24,Male,31,Build muscle,Promo event,Pilates,Intermediate
6,2024-09-10,Male,31,Get back in shape,Online,Strength Training,Beginner
7,2024-03-04,Female,49,Build muscle,Online,Swimming,Intermediate
8,2024-10-06,Male,41,Reduce stress,In-person,Yoga,Intermediate
9,2025-04-10,Male,29,Improve endurance,Corporate,Yoga,Intermediate
10,2024-09-01,Female,39,Lose weight,Referral,CrossFit,Beginner
11,2026-01-02,Female,29,Unspecified,Referral,Functional Training,Beginner
12,2025-03-19,Female,29,Support mental health,Referral,Functional Training,Intermediate
13,2024-09-06,Male,36,Train for an event,Referral,Bootcamp,Beginner
14,2024-09-03,Male,16,Boost energy,Referral,Spin,Intermediate
15,2024-07-16,Female,16,Improve endurance,Corporate,Martial Arts,Intermediate
16,2024-02-25,Male,28,Increase strength,Referral,Gym,Intermediate
17,2024-06-01,Female,23,Improve mobility,Social media,Gym,Beginner
18,2024-07-31,Male,37,Improve flexibility,Online,Gym,Beginner
19,2024-07-21,Male,24,Reduce stress,Referral,Bootcamp,Advanced
20,2024-02-10,Female,19,Get back in shape,Corporate,HIIT,Beginner
21,2025-05-18,Female,48,Support mental health,Online,Pilates,Beginner
22,2024-01-02,Female,31,Boost energy,Referral,Pilates,Beginner
23,2025-07-18,Female,34,Lose weight,Online,Kickboxing,Intermediate
24,2024-05-19,Female,19,Get back in shape,Online,Strength Training,Beginner
25,2024-11-25,Male,28,Get back in shape,Social media,Kickboxing,Beginner
26,2024-04-12,Female,35,Get back in shape,Online,Spin,Beginner
27,2026-01-05,Female,22,Get back in shape,Online,CrossFit,Intermediate
28,2025-01-02,Male,37,Unspecified,In-person,Spin,Intermediate
